Country Name,Country Code,Indicator Name,Indicator Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Azerbaijan,AZE,CO2 emissions (kg per PPP $ of GDP),EN.ATM.CO2E.PP.GD,1.418871647,1.345326351,2.076580073,1.992564629,1.694541174,1.823373711,1.480132061,1.339685983,1.204382013,1.090440748,1.017250602,0.863044586,0.770046588,0.747801348,0.660561226,0.531134054,0.388749179,0.27440274,0.267896617,0.203939968,0.182924851,0.200893827,0.20298436,0.191144615,0.193853429,0.220424849,0.229904159,0.229654004,0.226279704,0.235377119,0.234473648
Burundi,BDI,CO2 emissions (kg per PPP $ of GDP),EN.ATM.CO2E.PP.GD,0.056139629,0.063297775,0.053690084,0.058550786,0.05960967,0.065304038,0.071763152,0.072617431,0.07046223,0.070584462,0.078192901,0.059977966,0.058668408,0.045720611,0.039594595,0.038382052,0.042034161,0.039665638,0.038389935,0.036633512,0.056196472,0.058811218,0.05702935,0.051830843,0.047689841,0.042900211,0.052881243,0.063172491,0.076294499,0.078321083,0.077720914
Belgium,BEL,CO2 emissions (kg per PPP $ of GDP),EN.ATM.CO2E.PP.GD,0.586828769,0.581114293,0.551592693,0.53329632,0.527842841,0.503497544,0.517071022,0.482712453,0.480259841,0.443998449,0.411660759,0.399543538,0.35426675,0.359842183,0.339235893,0.319164433,0.290628699,0.265756218,0.263021077,0.245124092,0.246217335,0.213501249,0.202834613,0.198115992,0.179425969,0.182568645,0.171010391,0.161361463,0.155802001,0.145037458,0.135300782
Benin,BEN,CO2 emissions (kg per PPP $ of GDP),EN.ATM.CO2E.PP.GD,0.052700624,0.040523889,0.039763121,0.037308276,0.034938666,0.034771649,0.105483346,0.124571247,0.116398491,0.120245367,0.118035359,0.13348526,0.157616019,0.167667861,0.169362721,0.17689425,0.197644174,0.209128303,0.196563587,0.209870387,0.221838363,0.203521714,0.182845507,0.175086087,0.177929968,0.180328219,0.206284425,0.20210408,0.204549432,0.18485715,0.187580942
Burkina Faso,BFA,CO2 emissions (kg per PPP $ of GDP),EN.ATM.CO2E.PP.GD,0.114417949,0.102411105,0.101762762,0.098094246,0.095131164,0.090099497,0.090312945,0.095366589,0.093346869,0.09098157,0.098125613,0.087891261,0.083175362,0.0812047,0.077845047,0.070530541,0.078330264,0.08802601,0.092635941,0.09035775,0.089334997,0.08623912,0.100352235,0.102556735,0.10070262,0.122508672,0.113122866,0.117874321,0.120173561,0.122759878,0.114897028
Bangladesh,BGD,CO2 emissions (kg per PPP $ of GDP),EN.ATM.CO2E.PP.GD,0.109750722,0.09641641,0.097596624,0.096783358,0.098287736,0.111939246,0.106890288,0.113387139,0.108171686,0.106440929,0.101707957,0.117301578,0.118396236,0.116317875,0.114772005,0.111925796,0.111717025,0.107518685,0.108910119,0.110870953,0.117077486,0.115886382,0.111001088,0.109456013,0.106369517,0.109923615,0.111381409,0.112153367,0.111698119,0.098214771,0.086483484
Bulgaria,BGR,CO2 emissions (kg per PPP $ of GDP),EN.ATM.CO2E.PP.GD,1.118073022,0.944077008,0.936844448,0.938316145,0.866780192,0.843158639,0.965514176,1.108705083,0.989562122,0.929463082,0.827452376,0.828526033,0.714475454,0.73238839,0.665646638,0.608786456,0.564641166,0.543729551,0.465505687,0.406415246,0.4044334,0.428956836,0.377444035,0.327886203,0.330461268,0.337612288,0.290768981,0.289029573,0.25305384,0.223129991,0.196172382
Bahrain,BHR,CO2 emissions (kg per PPP $ of GDP),EN.ATM.CO2E.PP.GD,0.806492954,0.675815082,0.734594295,0.676893945,0.679952715,0.648655963,0.639830348,0.621354251,0.630001508,0.594171574,0.566963904,0.558368239,0.559099295,0.537444867,0.488782767,0.51237088,0.507263903,0.466546241,0.463850525,0.448661456,0.446381285,0.429647475,0.41250927,0.426084312,0.443533782,0.487696778,0.474706092,0.428086542,0.413814493,0.425278854,0.433617033
"Bahamas, The",BHS,CO2 emissions (kg per PPP $ of GDP),EN.ATM.CO2E.PP.GD,0.362611445,0.378904023,0.36066671,0.328316571,0.315822372,0.30831214,0.286045566,0.248462915,0.287902107,0.270918559,0.252917884,0.231809892,0.225987784,0.229574091,0.21938617,0.192067467,0.177190844,0.172307779,0.177522533,0.186614492,0.178972975,0.192186048,0.203976338,0.243196439,0.20710482,0.17706122,0.160487121,0.159646873,0.195116868,0.18118379,0.21895413
Bosnia and Herzegovina,BIH,CO2 emissions (kg per PPP $ of GDP),EN.ATM.CO2E.PP.GD,,,,,0.891190241,0.769836774,0.497281674,0.737671401,0.799509633,0.702991112,0.808951713,0.764697441,0.745095361,0.723697563,0.695330305,0.665029444,0.641647696,0.612367196,0.612487375,0.61038704,0.601700633,0.649906746,0.591195549,0.559813154,0.489977167,0.470957371,0.499041107,0.485682055,0.449382378,0.389965672,0.397710572
